Name,Symbol,Market Cap,Date,Rank
XCPCounterparty,XCP,"$86,018,141.80",2017-12-31,179
AEONAeon,AEON,"$84,766,451.04",2017-12-31,180
EDOEidoo,EDO,"$84,436,595.84",2017-12-31,181
XSPECSpectrecoin,XSPEC,"$83,752,992.83",2017-12-31,182
ASTAirSwap,AST,"$83,174,917.10",2017-12-31,183
SLSSaluS,SLS,"$81,917,929.33",2017-12-31,184
UKGUnikoin Gold,UKG,"$81,549,000.90",2017-12-31,185
DTRDynamic Trading Rights,DTR,"$80,971,284.95",2017-12-31,186
1STFirstBlood,1ST,"$80,754,363.25",2017-12-31,187
FUELEtherparty,FUEL,"$80,151,804.55",2017-12-31,188
HMQHumaniq,HMQ,"$79,097,364.57",2017-12-31,189
MLNMelon,MLN,"$79,079,486.98",2017-12-31,190
PLRPillar,PLR,"$75,468,337.59",2017-12-31,191
AMPHyperSpace,AMP,"$73,797,122.34",2017-12-31,192
OSTOST,OST,"$73,694,465.40",2017-12-31,193
FTCFeathercoin,FTC,"$71,524,493.76",2017-12-31,194
SIBSIBCoin,SIB,"$70,534,375.29",2017-12-31,195
MERMercury,MER,"$69,977,664.95",2017-12-31,196
VIBViberate,VIB,"$69,295,531.51",2017-12-31,197
MTHMonetha,MTH,"$68,128,078.11",2017-12-31,198
PAYXPaypex,PAYX,"$65,972,111.61",2017-12-31,199
GUPMatchpool,GUP,"$65,840,716.66",2017-12-31,200
BTCBitcoin,BTC,"$172,099,980,884.38",2018-01-31,1
ETHEthereum,ETH,"$108,848,275,777.18",2018-01-31,2
XRPXRP,XRP,"$45,029,876,515.12",2018-01-31,3
BCHBitcoin Cash,BCH,"$25,191,485,302.00",2018-01-31,4
ADACardano,ADA,"$13,464,316,749.19",2018-01-31,5
XLMStellar,XLM,"$9,948,369,701.23",2018-01-31,6
NEONeo,NEO,"$9,474,259,796.14",2018-01-31,7
LTCLitecoin,LTC,"$8,986,081,367.47",2018-01-31,8
EOSEOS,EOS,"$7,806,278,683.78",2018-01-31,9
XEMNEM,XEM,"$7,018,715,500.05",2018-01-31,10
MIOTAIOTA,MIOTA,"$6,415,573,632.78",2018-01-31,11
DASHDash,DASH,"$5,476,344,566.65",2018-01-31,12
XMRMonero,XMR,"$4,275,897,537.83",2018-01-31,13
TRXTRON,TRX,"$3,580,249,545.12",2018-01-31,14
QTUMQtum,QTUM,"$3,110,184,510.33",2018-01-31,15
LSKLisk,LSK,"$3,096,919,606.34",2018-01-31,16
ICXICON,ICX,"$2,929,599,327.46",2018-01-31,17
VENVechain [Token],VEN,"$2,910,465,674.59",2018-01-31,18
ETCEthereum Classic,ETC,"$2,862,163,443.11",2018-01-31,19
NANONano,NANO,"$2,668,792,535.13",2018-01-31,20
BTGBitcoin Gold,BTG,"$2,636,465,812.01",2018-01-31,21
PPTPopulous,PPT,"$2,623,263,438.07",2018-01-31,22
USDTTether,USDT,"$2,195,576,003.71",2018-01-31,23
OMGOmiseGO,OMG,"$1,606,362,472.78",2018-01-31,24
STEEMSteem,STEEM,"$1,277,220,022.17",2018-01-31,25
ZECZcash,ZEC,"$1,265,177,977.94",2018-01-31,26
STRATStratis,STRAT,"$1,213,560,164.92",2018-01-31,27
BTSBitShares,BTS,"$1,151,458,292.70",2018-01-31,28
BNBBinance Coin,BNB,"$1,103,514,474.70",2018-01-31,29
SCSiacoin,SC,"$1,091,333,140.07",2018-01-31,30
BCNBytecoin,BCN,"$1,088,487,404.95",2018-01-31,31
XVGVerge,XVG,"$1,014,667,372.46",2018-01-31,32
ZRX0x,ZRX,"$929,639,710.61",2018-01-31,33
MKRMaker,MKR,"$857,474,672.28",2018-01-31,34
SNTStatus,SNT,"$840,468,593.01",2018-01-31,35
VERIVeritaseum,VERI,"$824,659,728.56",2018-01-31,36
WTCWaltonchain,WTC,"$802,818,263.20",2018-01-31,37
ARDRArdor,ARDR,"$800,773,084.80",2018-01-31,38
