time,open,high,low,close
2019-07-10T08:00:00+08:00,178.86,178.86,178.86,178.86
2019-07-11T08:00:00+08:00,171.1,171.1,171.1,171.1
2019-07-12T08:00:00+08:00,158.92,158.92,158.92,158.92
2019-07-15T08:00:00+08:00,142.38,142.38,142.38,142.38
2019-07-16T08:00:00+08:00,149.45,149.45,149.45,149.45
2019-07-18T08:00:00+08:00,134.76,134.76,134.76,134.76
2019-07-19T08:00:00+08:00,147.27,147.27,147.27,147.27
2019-07-22T08:00:00+08:00,147.79,147.79,147.79,147.79
2019-07-23T08:00:00+08:00,144,144,144,144
2019-07-24T08:00:00+08:00,138.31,138.31,138.31,138.31
2019-07-25T08:00:00+08:00,138.34,138.34,138.34,138.34
2019-07-26T08:00:00+08:00,139.32,139.32,139.32,139.32
2019-07-29T08:00:00+08:00,134.5,134.5,134.5,134.5
2019-07-30T08:00:00+08:00,134.02,134.02,134.02,134.02
2019-07-31T08:00:00+08:00,135.14,135.14,135.14,135.14
2019-08-01T08:00:00+08:00,141.01,141.01,141.01,141.01
2019-08-02T08:00:00+08:00,143.85,143.85,143.85,143.85
2019-08-05T08:00:00+08:00,149.33,149.33,149.33,149.33
2019-08-06T08:00:00+08:00,158.64,158.64,158.64,158.64
2019-08-07T08:00:00+08:00,153.7,153.7,153.7,153.7
2019-08-08T08:00:00+08:00,158.14,158.14,158.14,158.14
2019-08-09T08:00:00+08:00,157.87,157.87,157.87,157.87
2019-08-12T08:00:00+08:00,153.04,153.04,153.04,153.04
2019-08-13T08:00:00+08:00,150.94,150.94,150.94,150.94
2019-08-14T08:00:00+08:00,145.82,145.82,145.82,145.82
2019-08-16T08:00:00+08:00,136.71,136.71,136.71,136.71
2019-08-19T08:00:00+08:00,138.05,138.05,138.05,138.05
2019-08-20T08:00:00+08:00,144.44,144.44,144.44,144.44
2019-08-21T08:00:00+08:00,141.87,141.87,141.87,141.87
2019-08-22T08:00:00+08:00,134.28,134.28,134.28,134.28
2019-08-23T08:00:00+08:00,135.1,135.1,135.1,135.1
2019-08-26T08:00:00+08:00,134.68,134.68,134.68,134.68
2019-08-27T08:00:00+08:00,137.19,137.19,137.19,137.19
2019-08-28T08:00:00+08:00,135.04,135.04,135.04,135.04
2019-08-29T08:00:00+08:00,128.47,128.47,128.47,128.47
2019-08-30T08:00:00+08:00,125.17,125.17,125.17,125.17
2019-09-04T08:00:00+08:00,137.3,137.3,137.3,137.3
2019-09-05T08:00:00+08:00,136.41,136.41,136.41,136.41
2019-09-06T08:00:00+08:00,135.83,135.83,135.83,135.83
2019-09-09T08:00:00+08:00,135.9,135.9,135.9,135.9
2019-09-10T08:00:00+08:00,134.69,134.69,134.69,134.69
